Date,VIX,SP500,IRX
2015-01-02,17.790000915527344,2058.199951171875,0.014999999664723873
2015-01-05,19.920000076293945,2020.5799560546875,0.003000000026077032
2015-01-06,21.1200008392334,2002.6099853515625,0.019999999552965164
2015-01-07,19.309999465942383,2025.9000244140625,0.019999999552965164
2015-01-08,17.010000228881836,2062.139892578125,0.017999999225139618
2015-01-09,17.549999237060547,2044.81005859375,0.014999999664723873
2015-01-12,19.600000381469727,2028.260009765625,0.013000000268220901
2015-01-13,20.559999465942383,2023.030029296875,0.023000000044703484
2015-01-14,21.479999542236328,2011.27001953125,0.02500000037252903
2015-01-15,22.389999389648438,1992.6700439453125,0.023000000044703484
2015-01-16,20.950000762939453,2019.4200439453125,0.017999999225139618
2015-01-20,19.889999389648438,2022.550048828125,0.00800000037997961
2015-01-21,18.850000381469727,2032.1199951171875,0.019999999552965164
2015-01-22,16.399999618530273,2063.14990234375,0.014999999664723873
2015-01-23,16.65999984741211,2051.820068359375,0.013000000268220901
2015-01-26,15.520000457763672,2057.090087890625,0.004999999888241291
2015-01-27,17.219999313354492,2029.550048828125,0.017999999225139618
2015-01-28,20.440000534057617,2002.1600341796875,0.014999999664723873
2015-01-29,18.760000228881836,2021.25,0.009999999776482582
2015-01-30,20.969999313354492,1994.989990234375,0.004999999888241291
2015-02-02,19.43000030517578,2020.8499755859375,0.004999999888241291
2015-02-03,17.329999923706055,2050.030029296875,0.014999999664723873
2015-02-04,18.329999923706055,2041.510009765625,0.004999999888241291
2015-02-05,16.850000381469727,2062.52001953125,0.00800000037997961
2015-02-06,17.290000915527344,2055.469970703125,0.014999999664723873
2015-02-09,18.549999237060547,2046.739990234375,0.003000000026077032
2015-02-10,17.229999542236328,2068.590087890625,0.004999999888241291
2015-02-11,16.959999084472656,2068.530029296875,0.004999999888241291
2015-02-12,15.34000015258789,2088.47998046875,0.00800000037997961
2015-02-13,14.6899995803833,2096.989990234375,0.004999999888241291
2015-02-17,15.800000190734863,2100.340087890625,0.00800000037997961
2015-02-18,15.449999809265137,2099.679931640625,0.013000000268220901
2015-02-19,15.289999961853027,2097.449951171875,0.013000000268220901
2015-02-20,14.300000190734863,2110.300048828125,0.009999999776482582
2015-02-23,14.5600004196167,2109.659912109375,0.014999999664723873
2015-02-24,13.6899995803833,2115.47998046875,0.017999999225139618
2015-02-25,13.84000015258789,2113.860107421875,0.014999999664723873
2015-02-26,13.90999984741211,2110.739990234375,0.013000000268220901
2015-02-27,13.34000015258789,2104.5,0.00800000037997961
